data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T10:30:32.467936,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:30:32.468773,
3,1,Organic,,1.0,B0DJ8TQT79,"JOYIN 36 Pcs 9""x6"" Summer Make a face Stickers for Kids, Make Your Own Hawaii Pool Beach Sticker Sheets, Luau Craft Party Decor, Summer Holiday Party Favors Kids Crafts, Goodie Bags Stuffers",N/A,$5.39,,4.8,7645.0,False,https://m.media-amazon.com/images/I/91d4reOTOrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91d4reOTOrL._AC_SL1500_.jpg,,2026-04-23T10:30:32.474191,
4,1,Organic,,2.0,B0DY4R1CMC,"30Sets Summer Felt Visor Hats Crafts Kits for Kids Bulk, DIY Beach Sun Visor Hat Activities with Stickers for Hawaiian/Luau/Under-The-Sea Party Supplies",N/A,$20.99,,4.7,17.0,False,https://m.media-amazon.com/images/I/9153AfDU3vL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/9153AfDU3vL._AC_SL1500_.jpg,,2026-04-23T10:30:32.480257,
5,1,Organic,,3.0,B094P1WXYF,"4E's Novelty 24 Pack DIY Pinwheels Craft for Kids, Bulk Summer Pinwheel Craft Kit, Color Your Own Paper Windmill for Pinwheels for Kids Bulk Spring Craft for Kids Easter Art Games",N/A,$18.99,,4.4,228.0,False,https://m.media-amazon.com/images/I/81qP1zjZ-ML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qP1zjZ-ML._AC_SL1500_.jpg,,2026-04-23T10:30:32.484527,
7,1,Title,,,,"Customers frequently viewedSponsoredOcean Magic Water Elves Toys Kit, FunKidz Aqua Squishy Craft Kit",,,,,,False,,,,2026-04-23T10:30:32.488237,
9,1,Title,,,,"Debug info copied.SponsoredJMMICO 81 PCS 3D Art Paint & Puff Set, Mess-Free Crafts for Kids Ages 4-8",,,,,,False,,,,2026-04-23T10:30:32.488743,
10,1,Title,,,,Klmars Glow in the Dark Wooden Painting KitSponsored|Highly bought brand in craft kits|Shop klmarsSh,,,,,,False,,,,2026-04-23T10:30:32.489861,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:30:32.489994,
12,1,Organic,,4.0,B0DXVHSV9X,Trnayi 36 Pcs Summer Unfinished Wooden Keychains Color Your Own Beach Fruit Keychains Tropical Hawaiian Luau Blank Wood Painting DIY Crafts for Summer Party Activities Arts Project Decor,N/A,$16.99,,4.7,91.0,False,https://m.media-amazon.com/images/I/81hLs3bt+xL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hLs3bt+xL._AC_SL1500_.jpg,,2026-04-23T10:30:32.493118,
13,1,Organic,,5.0,B0C7S26G2L,"Dan&Darci Kids Sea Shell Painting Kit - Arts & Crafts for Kids - Gifts for Boys and Girls Ages 6-8, 8-12 - Craft Activities Kits - Creative Art Activity Gift Toys for Age 6 7 8 9 10 11 12 Year Old",N/A,$9.98,,4.6,1675.0,False,https://m.media-amazon.com/images/I/81UQKatVU8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UQKatVU8L._AC_SL1500_.jpg,,2026-04-23T10:30:32.497920,
14,1,Organic,,6.0,B0CVWZCWGW,OHOME Summer Giant Coloring Poster/Tablecloth - Summer Decorations - 30 x 72 Inches Jumbo Paper Coloring Banner - Kids Crafts Gifts Toys Games Ice Cream Party Decorations - Arts Crafts Supplies,N/A,$7.16,,4.8,1557.0,False,https://m.media-amazon.com/images/I/91DIFfRUjlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91DIFfRUjlL._AC_SL1500_.jpg,,2026-04-23T10:30:32.501939,
