data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T11:19:05.173443,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:19:05.174490,
3,1,Organic,,1.0,B0DYSKPF35,Summer Party Decorations - 61 Pcs Beach Pool Party Decorations Hello Summer Banner Pool Beach Hanging Streams Decor for Home Office School Classroom,N/A,$7.99,,4.7,102.0,False,https://m.media-amazon.com/images/I/81Zdymfw6zL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Zdymfw6zL._AC_SL1500_.jpg,,2026-04-23T11:19:05.179682,
4,1,Organic,,2.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T11:19:05.185144,
5,1,Organic,,3.0,B0GR3B5F7V,"Tropical Decor, Tropical Table Runner, Summer Table Runner - 6 Pack 70 Inch Artificial Monstera Leaf Garlands & Faux Palm Leaf Table Runners for Hawaiian Luau Parties & Beach Weddings",N/A,$22.99,,,,False,https://m.media-amazon.com/images/I/71nY6ILbG5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71nY6ILbG5L._AC_SL1500_.jpg,,2026-04-23T11:19:05.189769,
7,1,Title,,,,Debug info copied.SponsoredFunnymoom 250 Pcs Tropical Beach Party Decoration Summer Paper Plates Nap,,,,,,False,,,,2026-04-23T11:19:05.190819,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:19:05.191014,
9,1,Organic,,4.0,B09WJB4JG1,Summer Pool Beach Hanging Swirls Banner Decor 30 Pack Foil Ceiling Hanging Swirls Streams Banner Decorations Garland for Kids Luau Hawaii Celebrating Events Birthday Party Supplies Room Wall Decor,N/A,$9.99,,4.6,289.0,False,https://m.media-amazon.com/images/I/81pvLwg9GEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81pvLwg9GEL._AC_SL1500_.jpg,,2026-04-23T11:19:05.194950,
10,1,Organic,,5.0,B0DP2FLFKM,‎Renbuzhu 15PCS Pool Party Decorations Beach Ball Paper Lanterns - Summer Luau Hawaiian Themed Hanging Decor for Home Birthday Outdoor Indoor,N/A,$16.99,,4.5,126.0,False,https://m.media-amazon.com/images/I/81SAWFpzVML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81SAWFpzVML._AC_SL1500_.jpg,,2026-04-23T11:19:05.198393,
11,1,Organic,,6.0,B09QM5XX82,"Uieke 3 Pack Artificial Sunflower Garland, 7.5ft/Strand Silk Sunflowers Hanging Vines Flowers with Green Leaves for Room Kitchen Garden Birthday Wedding Baby Shower Party Table Decor Large",N/A,$14.99,,4.4,1410.0,False,https://m.media-amazon.com/images/I/81qgOQNv7KL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qgOQNv7KL._AC_SL1500_.jpg,,2026-04-23T11:19:05.206705,
12,1,Organic,,7.0,B0G8GLCCXD,AIBIIN Last Day of School Decorations Hello Summer Backdrop Schools Out for Summer End of School Year Decorations Last Day of School Banner Hawaiian Beach Photo Studio Props Backdrop 70.8 x 43.3 inch,N/A,$7.99,,,,False,https://m.media-amazon.com/images/I/71O+1M3-CUL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71O+1M3-CUL._AC_SL1500_.jpg,,2026-04-23T11:19:05.210074,
13,1,Organic,,8.0,B0831D4S1D,R HORSE Inflatable Palm Tree Flamingo Banana Beach Ball Parrot Beach Pool Toys for Tropical Hawaiian Luau Party Summer Pool Beach Party Decorations,N/A,$22.99,,4.2,945.0,False,https://m.media-amazon.com/images/I/81UNKcb+coL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UNKcb+coL._AC_SL1500_.jpg,,2026-04-23T11:19:05.214480,
