data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T10:53:32.944777,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:53:32.945681,
3,1,Organic,,1.0,B0DYSKPF35,Summer Party Decorations - 61 Pcs Beach Pool Party Decorations Hello Summer Banner Pool Beach Hanging Streams Decor for Home Office School Classroom,N/A,$7.99,,4.7,102.0,False,https://m.media-amazon.com/images/I/81Zdymfw6zL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Zdymfw6zL._AC_SL1500_.jpg,,2026-04-23T10:53:32.951345,
4,1,Organic,,2.0,B0F5NTPJYC,"Summer Party Decorations, Beach Party Decor Includes Hello Summer Banner Beach Hanging Swirls and Garland, Summer Decorations for Office Classroom, Pool Decorations",N/A,$10.99,,4.7,12.0,False,https://m.media-amazon.com/images/I/81U1mq6OQ+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81U1mq6OQ+L._AC_SL1500_.jpg,,2026-04-23T10:53:32.955457,
5,1,Organic,,3.0,B0C6X65BLF,"MISS FANTASY Summer Party Banners, Multi Color Rectangular Paper Summer Banner Decorations for Pool, Beach, Luau, Tropical Parties",N/A,$6.99,,4.7,55.0,False,https://m.media-amazon.com/images/I/416LHGiY4NL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/416LHGiY4NL._AC_SL1500_.jpg,,2026-04-23T10:53:32.961317,
7,1,Title,,,,"Debug info copied.SponsoredYaomiao 6 Pieces Inflatable Pink Flamingo Decorations, 22 Inch Blow up Po",,,,,,False,,,,2026-04-23T10:53:32.962243,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:53:32.962392,
9,1,Organic,,4.0,B073RBVTXT,"ALINK 50 Umbrella Parasol Drinking Straws, Hawaiian Beach Cocktail Luau Party Decorations Supplies",N/A,$6.99,,4.6,10353.0,False,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_SL1500_.jpg,,2026-04-23T10:53:32.966808,
10,1,Organic,,5.0,B0DZYT48XZ,"Hello Summer Banner,Summer Party Decorations",N/A,$6.99,,4.6,31.0,False,https://m.media-amazon.com/images/I/51lRmNCx93L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51lRmNCx93L._AC_SL1500_.jpg,,2026-04-23T10:53:32.971078,
11,1,Organic,,6.0,B0GC6JZY4T,"DMIGHT Summer Party Decorations Kit, Beach Pool Party Decorations, Hello Summer Banner with Beach Pool Hanging Swirls, Beach Ball Paper Lanterns for Home, Office, School, Classroom",N/A,$16.99,,4.8,22.0,False,https://m.media-amazon.com/images/I/81QsPsSamjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81QsPsSamjL._AC_SL1500_.jpg,,2026-04-23T10:53:32.974415,
12,1,Organic,,7.0,B0FL7DMFZK,Flutesan 16 Pcs Summer Beach Decorations Ice Cream Surfboard Pool Themed Hanging Decor Colorful Paper Lanterns Fans Poms Flowers for Home Birthday Indoor Outdoor End of Summer Party Supplies Favors,N/A,$15.99,,,,False,https://m.media-amazon.com/images/I/81Z0jyyi-tL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Z0jyyi-tL._AC_SL1500_.jpg,,2026-04-23T10:53:32.978305,
13,1,Organic,,8.0,B07DLVSJ99,"FUTUREPLUSX 2 Pack Tropical Garland Party Decorations, 20ft Multicolored Tissue Paper Hibiscus Flower Summer Banner for Birthday Beach Theme Luau Hawaiian Party Supplies Jungle Decor",N/A,,,4.7,3377.0,False,https://m.media-amazon.com/images/I/71q9+TnamlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71q9+TnamlL._AC_SL1500_.jpg,,2026-04-23T10:53:32.982772,
14,1,Organic,,9.0,B09WJB4JG1,Summer Pool Beach Hanging Swirls Banner Decor 30 Pack Foil Ceiling Hanging Swirls Streams Banner Decorations Garland for Kids Luau Hawaii Celebrating Events Birthday Party Supplies Room Wall Decor,N/A,$9.99,,4.6,289.0,False,https://m.media-amazon.com/images/I/81pvLwg9GEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81pvLwg9GEL._AC_SL1500_.jpg,,2026-04-23T10:53:32.988612,
15,1,Title,,,,Paper Jazz Toucan Tropical Party DecorationSponsored|Shop Paper JazzShop nowPrevious pageTropical Bi,,,,,,False,,,,2026-04-23T10:53:32.992783,
16,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:53:32.993059,
17,1,Organic,,10.0,B09TSY3Y24,Yexiya 12 Pieces Beach Honeycomb Centerpieces Pool Cake Balls Table Toppers Beach Pool Party Supplies Decorations for Birthday,N/A,$7.64,,4.3,246.0,False,https://m.media-amazon.com/images/I/81uawshAiQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uawshAiQL._AC_SL1500_.jpg,,2026-04-23T10:53:32.998300,
18,1,Organic,,11.0,B0BZS1RK9X,"Summer Party Decorations, Beach Party Decorations Include Hello Summer Banner and Summer Beach Hanging Swirls, Summer Holiday Birthday Party Supplies",N/A,$8.99,,4.7,25.0,False,https://m.media-amazon.com/images/I/81QbQGQF1oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81QbQGQF1oL._AC_SL1500_.jpg,,2026-04-23T10:53:33.005972,
19,1,Organic,,12.0,B0F3J74VN5,Summer Party Decoration Hello Summer Banner Colorful Beach Pool Theme Banners Pre-strung Pool Banner Hanging Swirls Honeycomb Balls Circle Dots Garland for Holiday Beach Party Decorations Supplies,N/A,$9.99,,4.8,20.0,False,https://m.media-amazon.com/images/I/81iDyh6u+ML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81iDyh6u+ML._AC_SL1500_.jpg,,2026-04-23T10:53:33.014084,
20,1,Organic,,13.0,B09Z28TMY4,Vinsot 32 Pack Beach Pool Party Eyeglasses Decor Summer Luau Paper Glasses Bulk Hawaiian Sunglasses Frame Tropical Pool Props Photo Booth Props for Summer Beach Luau Party Favor Birthday Supply Decor,N/A,$12.99,,4.1,654.0,False,https://m.media-amazon.com/images/I/81bbJ2wNgCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81bbJ2wNgCL._AC_SL1500_.jpg,,2026-04-23T10:53:33.018934,
