data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T12:32:01.342862,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:32:01.343772,
3,1,Organic,,1.0,B00OCGUG02,"Hefty Party On Disposable Plastic Cups, Assorted, 16 Ounce, 100 Count",N/A,$9.97,,4.8,35509.0,False,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_SL1500_.jpg,,2026-04-23T12:32:01.350775,
4,1,Organic,,2.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T12:32:01.354964,
5,1,Organic,,3.0,B0GHY3VJGQ,"Threan 24 Pcs Teacher Appreciation Gift Bulk Pool Beach Party Favors Set Include Summer Beach Towels 28 x 59 Inch Large Pool Towels, Plastic Tumblers with Straws Lid for Summer Themed Supplies",N/A,$68.99,,,,False,https://m.media-amazon.com/images/I/81p0y+tMb1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81p0y+tMb1L._AC_SL1500_.jpg,,2026-04-23T12:32:01.358372,
7,1,Title,,,,From frequently shopped brandsSponsored| Based on number of views and purchasesJoyin Toy 36 Counts H,,,,,,False,,,,2026-04-23T12:32:01.362453,
9,1,Title,,,,"Debug info copied.SponsoredFunnymoom 452 Pcs Hawaiian Party Decorations, Tropical Luau Paper Plates ",,,,,,False,,,,2026-04-23T12:32:01.363061,
10,1,Title,,,,CZWZ Cute Mini Multicolor Pens Bulk for KidsSponsored|Shop CZWZShop nowPrevious pageCZWZ 20Pcs Mini ,,,,,,False,,,,2026-04-23T12:32:01.364950,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:32:01.365139,
12,1,Organic,,4.0,B07W81XXLQ,"Large Food Cover,6 Pack Mesh Food Tent,17""x17"",White Nylon Covers,Pop-Up Umbrella Screen Tents,Patio Net for Outdoor Camping, Picnics, Parties,BBQ,Collapsible and Reusable",N/A,$13.99,,4.5,9157.0,False,https://m.media-amazon.com/images/I/71InDzkWORL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71InDzkWORL._AC_SL1500_.jpg,,2026-04-23T12:32:01.369482,
