data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Vlipoeasn Thank You for All You Do Decor,https://aax-us-east-retail-direct.amazon.com/x/c/JIfLcoOZCu6jAs2X-Z_Mo8AAAAGdtNgUtgEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDIgICBcWHdD/clv1c_ek-IBPHXUsbWHn2mJtYb8xPASX0CAxjvu193-_LB2ppQ125Se68ExYtw32HEFQgMS2HIc2tRblK0ptKUN01J_qX4ShC-Cm2jLZtNB3ieWPz0k7rlOdvvcVvZoP5w6trh91tZ9-ieZn5RQzEkTFgUcUrdlfUclVDCQkRFB9fLzQUWXWeFzuzJR41A0sBWZt6rIywGbIdQfQrV6chVByPoMqgrORauRQrxwwZir3rJijKv6yCsfO4SAKvyMge9q9FqUUFGoaitN4IlkGmIpLyT4BCHSL0BSyjcgr1Z3YnZ2bHGVPdKUzwlEcj3UnQ8hEIsWi4u1bjAWPT7MaoXOYjy8mHj471DeWXc6c3BzjQrpnSQZnPVbRwT4I3qgOmg0Xm8A5ONL6o8UIFL407AKy24XfshJJX8metgeEOCLxtZtFR1x7xkAnRr4Uwahd7lEZq0J9CBTep0G9miMUSDGgYymnDC_Ol0r4MXMZd9Pic1HEetDLoVjj-h3N9t6xm3utiYHWoDtAYcWJiwsjHf8yE-gNJeRhEqoiaE-TyVhf-VxhtU8nlEJN723sto_VjoQURNElSlJa0Npz6LSyv70s2p_cepVj9ApAyQoACwMwtWkyqITl9xK1ufFJzNbK36UGQGqR_MiFN2gZ1DMS0XN2J6IPlwTg1eotj2Ki84JQW90n3K95aMdguCx_YVsuXWTrvC_fJZw9LtqphsfhHcHT1lXrgKfieBABsBU0B4xFQB3fFEEOXip7fSAT7eAhB9fkmB4DOaT5drB5v6Y0X43ZedyNXdmbWwcxxkLtEDS-PA4hu-1MZb8wM_IXU3Y2SaQZtzJFEIvVqeYb2hwYDL0BnOP3RQ_YHWgpwxrZ_bfY4HIYJCQ9HU96BfkgyvzXa6mxxc6s0AAjqyo3HOGNGXgS5GTujOAuxRo34E_P4jq_2ijNRBYvJUo3eYkrBWF9Rni7pcFLA1P_11FkjoL9TNH5-KG0s1afTX9quphk1wcqlDcqB4jPCXXsI3m_56FyWjy6zvSgbOBgwNo04ocI0ZKIXTz4xP02RprcxNOXULyumD2B-Qon9-ma8ceuZ3VdcmVN7Hy_ZbSU0CenAgGacCFuRT21ZoSstM6tJS2UfdTvFz80X_xieXvvL2D8MhESXPZDd2v16YZDxzkVdQEergN0l4Qgc3g0vsS9YsHjcWMF4RQ-pmV95dhvdap2AoBI_fg3Hp8wXPgVZEFUZw0SDRBxLvuinj5tb-Gt1GMEKqyb-VnwTrhHvFj-78rURMviogo639zgUoixft0gydECOleSsCbZx9KBglLvPSWxLrDyQj3uB8CRxXRWkuEJaUOY7n3BNGjA5N2KibkHu8aRtFungNeNJI4YClx9-y6bEmhbGLdMs9SYLp2No0wlp1ih-JKzS7svhb4EGCg-RspyxMlA5Lm7jpQVkCxlvcM1CDBfiFYRCEMYHSHymNAOhMEmE5mok7TWWuNzWB8dwkayQb1s7TvBA65MDssGCAgYrC01Bnl1ZYtQ9RwCXYv93ZRv7YOVFzztpY202hAjuukOqy0gX-ICjbM_rTV6yUwOjkjKLGdRnPC9XXCRUTiHLk-uR47nBLaVI6_Ypxu4n0DeT6q4YwbpR9vcWg3RXdVduJRNQZVtuZmIC_JpkEawE680tUQZX9hwE2lux4Y7rwOydskmw/https://www.amazon.com/stores/page/75D90EC5-9E34-44D9-9EFF-0E0223FDA374/?_encoding=UTF8&store_ref=SB_A07549943WXYYHOK4YW7-A04043162JJ2LX6HH8QD6&pd_rd_plhdr=t&aaxitk=2756ad469767743787eebdb5a9d6d2bc&hsa_cr_id=0&lp_asins=B0F8BHC9CD%2CB0DZN3F168%2CB0DL649CQX&lp_query=teacher%20appreciation%20week%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=mk7yc&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=644C15RXWQWWX76GQA4N&pd_rd_wg=0OpKM&pd_rd_r=0aa2a1ef-65a7-4a72-b982-3d18437aa0ea,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/201f0b19-7de0-45b6-99ab-b94011f09b26._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.jpeg",,Vlipoeasn Thank You for All You Do Decor,2026-04-22T10:59:14.739902,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T10:59:14.740916,
3,1,Organic,,1.0,B0GMHRZSJV,"Teacher Appreciation Decorations, Staff Appreciation Decorations includes Thank You Teacher & Staff Backdrop, Honeycomb Centerpieces and Hanging Swirls, Teacher Appreciation Week Decoration",N/A,$22.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/811ral5EqUL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811ral5EqUL._AC_SL1500_.jpg,,2026-04-22T10:59:14.745380,
4,1,Organic,,2.0,B0G2579Q3R,SmoothNovelty 3 Pcs Teacher Appreciation Week Banner Thank You Teachers Banner Porch Sign Happy Teacher Appreciation Week Decoration for Classroom School Office Decor Photo Props Background,N/A,$14.99,,4.8,96.0,False,https://m.media-amazon.com/images/I/71y4j-MS5qL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71y4j-MS5qL._AC_SL1500_.jpg,,2026-04-22T10:59:14.751094,
5,1,Organic,,3.0,B0GLQC7B65,"Teacher Appreciation Decorations Door Cover - Black Happy Teacher and Staff Appreciation Week Decoration Porch Sign, Teach Love Inspire Party Decor for School Office Classroom Celebration",N/A,$8.99,,,,False,https://m.media-amazon.com/images/I/816yxwYKnCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816yxwYKnCL._AC_SL1500_.jpg,,2026-04-22T10:59:14.755276,
6,1,Title,,,,Vlipoeasn Thank You for All You Do DecorSponsored|Shop VlipoeasnShop nowPrevious pageVlipoeasn We Ap,,,,,,False,,,,2026-04-22T10:59:14.757666,
7,1,Title,,,,More results,,,,,,False,,,,2026-04-22T10:59:14.757813,
8,1,Organic,,4.0,B0DLWDFXJQ,Affrolling 35 Pcs Teacher Appreciation Week Decorations Teacher Appreciation Banner Hanging Swirls Wall End of Year Decor Holiday Celebrating Events for School Classroom End of Year Party Supplies,N/A,$16.99,,4.7,59.0,False,https://m.media-amazon.com/images/I/81fnIFLUucL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81fnIFLUucL._AC_SL1500_.jpg,,2026-04-22T10:59:14.760818,
9,1,Organic,,5.0,B0DRP7QZY4,"Teacher Appreciation Week Banner Yard Sign Decorations, Thank You Teacher Staffs Banner Yard Sign Decorations",N/A,$9.89,,3.7,9.0,False,https://m.media-amazon.com/images/I/61xCxtgDxfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61xCxtgDxfL._AC_SL1500_.jpg,,2026-04-22T10:59:14.764756,
10,1,Organic,,6.0,B0GL1SZG79,"Teacher Appreciation Decorations, Staff Appreciation Decorations includes Thank You Teachers & Staff Banner and Colorful Teacher Hanging Swirls, Teacher Appreciation Week Decorations for Home Office",N/A,$12.99,,,,False,https://m.media-amazon.com/images/I/81iLMMagVLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81iLMMagVLL._AC_SL1500_.jpg,,2026-04-22T10:59:14.768476,
