data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T12:35:48.897226,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:35:48.898569,
3,1,SP,1.0,,B0GD6NWWXQ,"50Pcs Teacher Appreciation Party Oval Paper Plates 10"" x 12"" Large Heavy Duty Thank You Teachers Decorations Appreciation Week Dessert Plates for 2026 School Graduation Party Supplies",N/A,$17.99,,4.7,23.0,False,https://m.media-amazon.com/images/I/71+PWY6g-OL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71+PWY6g-OL._AC_SL1500_.jpg,,2026-04-23T12:35:48.902460,
4,1,SP,2.0,,B0G34Z6LKQ,HunnmingRe Teacher Appreciation Week Decorations Teacher Appreciation Banner and Hanging Swirls Wall Decor Holiday Celebrating Events for Thank You for All You Do We Appreciate Party Supplies,N/A,$15.99,,,,False,https://m.media-amazon.com/images/I/81IuziH+XEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81IuziH+XEL._AC_SL1500_.jpg,,2026-04-23T12:35:48.906178,
5,1,SP,3.0,,B0DSK7SQD3,"96 Pcs Teacher Appreciation Week Supplies Thank You Teacher and Staff Tableware for 24 Guest Disposable Plate Napkin Fork for 2026 Teacher's Day Graduation End of Year Party Supplies(White,Classic)",N/A,$16.99,,3.8,4.0,False,https://m.media-amazon.com/images/I/81EFazfL81L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81EFazfL81L._AC_SL1500_.jpg,,2026-04-23T12:35:48.910027,
6,1,SP,4.0,,B0GL7PDZXR,"Vlipoeasn Teacher Appreciation Week Decorations, Black Thank You Teachers Staff Backdrop Banner, We Appreciate You Banner, School Classroom Decorations Hanging Swirl Honeycomb Centerpiece",N/A,$19.99,,,,False,https://m.media-amazon.com/images/I/91SpG-J43OL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91SpG-J43OL._AC_SL1500_.jpg,,2026-04-23T12:35:48.913914,
7,1,Organic,,1.0,B0GL7P28J2,96Pcs Teacher Appreciation Week Party Supplies Thank You Teachers and Staff Paper Plates and Napkins We Appreciate You Party Decor for Office Teacher Decorations Tableware Dinnerware Serves 24 Guests,N/A,$17.99,,4.5,30.0,False,https://m.media-amazon.com/images/I/81FfVuJvAfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81FfVuJvAfL._AC_SL1500_.jpg,,2026-04-23T12:35:48.918345,
8,1,Organic,,2.0,B0DTYKBSG4,"Teacher Appreciation Party Supplies,125Pcs Thank You Party Plates and Napkin We Appreciate All That You Do Tableware Decorations for Teacher Appreciation Week,Teacher Staff Party Decor",N/A,$16.99,,4.5,2.0,False,https://m.media-amazon.com/images/I/812dWTbwhlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/812dWTbwhlL._AC_SL1500_.jpg,,2026-04-23T12:35:48.923983,
9,1,Organic,,3.0,B0DTYN3386,"125 Pcs Teacher Appreciation Party Supplies,Thank You Party Plates and Napkin Tableware Set,Best Teacher Ever Dinnerware Table Decorations for Doctor Graduation Day 2025 Graduation Party Favors",N/A,$17.99,,4.7,5.0,False,https://m.media-amazon.com/images/I/81qFu2c6k+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qFu2c6k+L._AC_SL1500_.jpg,,2026-04-23T12:35:48.927679,
11,1,Title,,,,Debug info copied.SponsoredFrienda 3 Pcs Happy Teacher Appreciation Week Banner Pencil Shaped Thank ,,,,,,False,,,,2026-04-23T12:35:48.928464,
12,1,Title,,,,Blue Gold We Appreciate You DecorationsSponsored|Shop VlipoeasnShop nowPrevious pageVlipoeasn We App,,,,,,False,,,,2026-04-23T12:35:48.929757,
13,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:35:48.929892,
14,1,Organic,,4.0,B0CTK284Q7,98 Pcs Teacher Appreciation Party Decorations Thank You Teachers Paper Plates and Napkins Decorations Appreciation Tablecloths Dessert Tableware Set for School Graduation Party Supplies,N/A,$19.99,,4.8,144.0,False,https://m.media-amazon.com/images/I/81DqxpPnpRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81DqxpPnpRL._AC_SL1500_.jpg,,2026-04-23T12:35:48.934351,
15,1,Organic,,5.0,B0DLWDFXJQ,Affrolling 35 Pcs Teacher Appreciation Week Decorations Teacher Appreciation Banner Hanging Swirls Wall End of Year Decor Holiday Celebrating Events for School Classroom End of Year Party Supplies,N/A,$16.99,,4.7,60.0,False,https://m.media-amazon.com/images/I/81fnIFLUucL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81fnIFLUucL._AC_SL1500_.jpg,,2026-04-23T12:35:48.939045,
16,1,Organic,,6.0,B0CY4C4LZ4,How Sweet it is to Be Taught by You Banner Thank You Teacher We Love Our Teacher Party Decorations for Student Celebrate Teacher Appreciation Week Party Supplies (Black),N/A,$12.99,,5.0,8.0,False,https://m.media-amazon.com/images/I/71Tmj0LUAEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Tmj0LUAEL._AC_SL1500_.jpg,,2026-04-23T12:35:48.942633,
17,1,SP,5.0,,B0GF19YXV1,Jingmore 100 Pcs Teacher Appreciation Gifts Bulk Teacher Cups Disposable Clear Plastic Cups Coffee Cocktail Glasses Gifts for Back to School Graduation Party Supplies,N/A,$20.99,,,,False,https://m.media-amazon.com/images/I/81bY5ZLtfsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81bY5ZLtfsL._AC_SL1500_.jpg,,2026-04-23T12:35:48.945800,
18,1,SP,6.0,,B0GKMC43ZX,36 Pcs Teacher Appreciation Gift Bulk Set Includes 12 Apple Pen Holders 12 Apple Pens 12 Thank You Cards Ribbon Gift Bags for Teacher Week End of Year Classroom Office Party Supplies,N/A,$33.99,,,,False,https://m.media-amazon.com/images/I/81zBeAHYV3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81zBeAHYV3L._AC_SL1500_.jpg,,2026-04-23T12:35:48.948694,
19,1,SP,7.0,,B0DW7W4RJM,Teachers Appreciation Week Decorations Teacher Gifts Thank You Teachers Banner Teachers Appreciation Decoration and Supplies for Home School Office Party,N/A,$5.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/71Wu4xCnnqL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Wu4xCnnqL._AC_SL1500_.jpg,,2026-04-23T12:35:48.951681,
20,1,SP,8.0,,B0GCHC7GC1,Falueqg We Appreciate You Party Favors - 50 Pcs Employee Appreciation Goodie Candy Gift Bags Thank You Teachers Party Supplies for Coworkers Teacher Staff Volunteer Doctor Nurses Appreciation Week Decor,N/A,$13.99,,4.7,17.0,False,https://m.media-amazon.com/images/I/818u9bZ-MCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/818u9bZ-MCL._AC_SL1500_.jpg,,2026-04-23T12:35:48.954787,
21,1,Organic,,7.0,B0GL2M31ST,96Pcs Thank You Teachers and Staff Party Supplies Teacher Appreciation Week Paper Plates and Napkins We Appreciate You Party Decor for Office Teacher Decorations Tableware Dinnerware Serves 24 Guests,N/A,$17.99,,4.5,30.0,False,https://m.media-amazon.com/images/I/81ECGsTN1dL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ECGsTN1dL._AC_SL1500_.jpg,,2026-04-23T12:35:48.958199,
22,1,Organic,,8.0,B0CY49D66V,How Sweet it is to Be Taught by You Banner Thank You Teacher We Love Our Teacher Party Decorations for Student Celebrate Teacher Appreciation Week Party Supplies (Gold),N/A,$9.99,,5.0,8.0,False,https://m.media-amazon.com/images/I/71gqDhzXfOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71gqDhzXfOL._AC_SL1500_.jpg,,2026-04-23T12:35:48.961506,
23,1,Organic,,9.0,B0DWHL8QX2,"3Pcs Teacher Appreciation Tablecloth,Teacher Appreciation Party Supplies Thank You Teachers Table Cover We Appreciate All That You Do Table Decorations for Best Teacher Ever,Teacher Appreciation Week",N/A,$11.99,,4.8,8.0,False,https://m.media-amazon.com/images/I/81ka1tgspWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ka1tgspWL._AC_SL1500_.jpg,,2026-04-23T12:35:48.964914,
24,1,Organic,,10.0,B0CY4LXBL2,Happy Teacher Appreciation Week Banner Thank You Teacher We Love Our Teacher Party Decorations for Teacher Celebrate Teacher Appreciation Week Party Supplies(Black),N/A,$12.99,,4.3,5.0,False,https://m.media-amazon.com/images/I/71rs9Cw5h6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71rs9Cw5h6L._AC_SL1500_.jpg,,2026-04-23T12:35:48.968593,
25,1,SP,9.0,,B0GJSQRQK9,Moukeren Teacher Appreciation Tablecloth 54 x 72 Inch Notebook Stretch Table Cover Thank You Teacher Table Cloth Back to School Party Tablecloth for Back to School Teachers Appreciation Week,N/A,$25.99,,4.2,7.0,False,https://m.media-amazon.com/images/I/61mgdvKjFWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61mgdvKjFWL._AC_SL1500_.jpg,,2026-04-23T12:35:48.971767,
26,1,SP,10.0,,B0CT4HGD8K,"HOWAF Thank You Table Decorations Honeycomb Centerpieces, Colorful Love Hearts Thank You Table Centerpieces for Teacher Employee Doctor Appreciation Party Supplies, Thank you Table Toppers-Set of 9",N/A,$9.99,,4.8,8.0,False,https://m.media-amazon.com/images/I/71FLSpuVZJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71FLSpuVZJL._AC_SL1500_.jpg,,2026-04-23T12:35:48.974636,
27,1,SP,11.0,,B0F8BHC9CD,"Vlipoeasn We Appreciate You Banner Decorations, Colorful Thank You for All You Do Backdrop Banner Honeycomb Centerpieces, Retirement Office Decor Staff Teachers Professors Doctor Nurses Appreciation",N/A,$22.99,,4.8,143.0,False,https://m.media-amazon.com/images/I/81TG2NMch-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81TG2NMch-L._AC_SL1500_.jpg,,2026-04-23T12:35:48.978245,
28,1,SP,12.0,,B0F1F3N5KB,"Thank You Teachers Backdrop Banner, Teacher Appreciation Week Backdrop Banner, Teachers Appreciation Week Decorations, Thank You Teachers Decorations Photography Background",N/A,$11.99,,5.0,6.0,False,https://m.media-amazon.com/images/I/81HEXhwgJVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81HEXhwgJVL._AC_SL1500_.jpg,,2026-04-23T12:35:48.981564,
29,1,Organic,,11.0,B0CY4QJ9HX,Thank You Happy Teacher Appreciation Week Banner Thank You Teacher We Love Our Teacher Party Decorations for Teacher Celebrate Teacher Appreciation Week Party Supplies(Gold),N/A,$9.99,,5.0,4.0,False,https://m.media-amazon.com/images/I/71OXD7txNwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71OXD7txNwL._AC_SL1500_.jpg,,2026-04-23T12:35:48.986331,
30,1,Organic,,12.0,B0CY87ZVXS,Thank You Party Plates and Napkin Decoration We Appreciate You Tableware Tablecloth Cups Banner Thank You for All You Do Employee Staff Appreciation Teacher Doctor Graduation Appreciation Party Decor,N/A,$22.99,,4.6,509.0,False,https://m.media-amazon.com/images/I/81QaTnvyoHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81QaTnvyoHL._AC_SL1500_.jpg,,2026-04-23T12:35:48.990854,
31,1,Organic,,13.0,B0CY1ZWQWN,3Pcs Thank You Teacher Tablecloth Teacher Appreciation Decorations We Appreciate You Tablecloths Teacher Appreciation Week Decorations Thank You Party Supplies,N/A,$9.99,,5.0,5.0,False,https://m.media-amazon.com/images/I/718Sb2imkpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/718Sb2imkpL._AC_SL1500_.jpg,,2026-04-23T12:35:48.994187,
32,1,Organic,,14.0,B0G3PJYJ7L,"Yungyan Employee Appreciation Decorations Teacher Appreciation Gifts Bulk Thank You Party Decorations We Appreciate You Spring Wildflower Plates, Napkins, Banner Table Decor for Team Gift Graduation",N/A,$26.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81l2iQaRCOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81l2iQaRCOL._AC_SL1500_.jpg,,2026-04-23T12:35:48.998254,
33,1,Organic,,15.0,B0GJPZFLWF,Thank You Teachers & Staff Banner Happy Teacher Appreciation Week Decoration Banner We Love Our Teachers Thank You for Helping Us Grow Teachers Day Party Favors Supplies,N/A,$7.28,,,,False,https://m.media-amazon.com/images/I/61KsgwSiMyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61KsgwSiMyL._AC_SL1500_.jpg,,2026-04-23T12:35:49.001592,
34,1,Organic,,16.0,B0CWTYJLCS,"Teacher Appreciation Week Table Decorations Honeycomb Centerpieces, 9PCS Teacher Appreciation Decorations 3D Double Side Table Topper Sign Thank You Teacher Table Centerpieces",N/A,$9.99,,4.9,11.0,False,https://m.media-amazon.com/images/I/71bUFq89DLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71bUFq89DLL._AC_SL1500_.jpg,,2026-04-23T12:35:49.005811,
35,1,Organic,,17.0,B0D3PSSKP1,Funnymoom 240 Pcs We Appreciate You Tableware Set Thank You Decorations Plate and Napkin Disposable Cup Paper Knife Fork Spoon Employee Appreciation Party for Teacher Serve 30 (Rainbow Thankful),N/A,$27.99,,4.6,26.0,False,https://m.media-amazon.com/images/I/812jezA8U8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/812jezA8U8L._AC_SL1500_.jpg,,2026-04-23T12:35:49.009055,
36,1,Organic,,18.0,B0FSSKMJGG,168 Pcs You Donut Know How Much We Appreciate Teacher Appreciation Party Decor Employee Appreciation Decoration Donut Thanks for All You Do Doughnut Tableware Set Serve 24 for Staff,N/A,$20.99,,4.4,68.0,False,https://m.media-amazon.com/images/I/81ImF866R6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ImF866R6L._AC_SL1500_.jpg,,2026-04-23T12:35:49.012554,
37,1,Organic,,19.0,B0CY2KKT6L,"50 Pcs We Appreciate You Party Plates Thank You Plates CNA Appreciation Week Supplies Large 11 Inch Employee Appreciation Party Oval Paper Plate Platter for Teacher Doctor Nurse Staff, Blue Gold",N/A,$16.99,,4.7,28.0,False,https://m.media-amazon.com/images/I/71ZYdbvfltL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ZYdbvfltL._AC_SL1500_.jpg,,2026-04-23T12:35:49.019456,
38,1,Organic,,20.0,B0CY7SLY3S,We Love Our Teachers and Staff Banner National Teacher Appreciation Week Decoration Thank You for Helping Us Grow Teachers Day Party Celebration Decor Supplies - Black,N/A,$11.99,,5.0,7.0,False,https://m.media-amazon.com/images/I/71D+YkdSqLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71D+YkdSqLL._AC_SL1500_.jpg,,2026-04-23T12:35:49.022814,
39,1,Organic,,21.0,B0G3NSP7Z5,"210pcs Teacher Appreciation Decorations for 25 Guests, All-in-one Set with No-diy Banner, Balloons, Plates, Cups, Napkins, Tablecloths – Easy Assembly Employee Appreciation Decorations",N/A,$22.99,,4.2,12.0,False,https://m.media-amazon.com/images/I/81znZluNTkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81znZluNTkL._AC_SL1500_.jpg,,2026-04-23T12:35:49.027365,
40,1,Organic,,22.0,B0BXXFX1SX,"HOWAF 3 Pack Teacher Appreciation Week Tablecloths Thank You Teacher Table Cover for Teachers Day Teachers Appreciation Week Party Supplies,Best Teacher Ever Party Favors Plastic Tablecover",N/A,$9.99,,5.0,3.0,False,https://m.media-amazon.com/images/I/81hFsg1NtAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hFsg1NtAL._AC_SL1500_.jpg,,2026-04-23T12:35:49.031635,
41,1,Organic,,23.0,B0FZL3JC28,Thank You Teachers Notebook Banner Teacher Appreciation Week Backdrop Banner Large Hanging 9.8 x 1.6 ft Graduation Party Supplies for School Classroom Office Indoor Outdoor Party Decoration,N/A,$13.99,,,,False,https://m.media-amazon.com/images/I/81idC69FFTL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81idC69FFTL._AC_SL1500_.jpg,,2026-04-23T12:35:49.034763,
42,1,Organic,,24.0,B0CY4VGX25,Best Teacher Ever Banner Thank You Teacher We Love Our Teacher Party Decorations for School Classroom Celebrate Teacher Appreciation Week Party Supplies (Gold),N/A,$9.99,,5.0,4.0,False,https://m.media-amazon.com/images/I/71LUN5yfu0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71LUN5yfu0L._AC_SL1500_.jpg,,2026-04-23T12:35:49.038154,
43,1,Organic,,25.0,B0GH6TXPK5,"Teacher Appreciation Decorations - Thank You Teachers Teacher Appreciation Week Photo Booth Backdrop Decorations | Teacher Appreciation Banner for Classroom, School Office Decor, Photo Booth Props Background",N/A,$6.99,,4.6,269.0,False,https://m.media-amazon.com/images/I/91AIt1T0fIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91AIt1T0fIL._AC_SL1500_.jpg,,2026-04-23T12:35:49.041992,
44,1,Organic,,26.0,B0FWKKDPGN,Moukeren Teacher Appreciation Week Backdrop Banner Teacher's Day Supply Thank You Teachers Staff We Appreciate Banner for All You Do Hanging Sign for School Classroom Decoration (Composition Book),N/A,$11.99,,,,False,https://m.media-amazon.com/images/I/81Osq6eBqTL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Osq6eBqTL._AC_SL1500_.jpg,,2026-04-23T12:35:49.045030,
45,1,Organic,,27.0,B0GQGNHHB3,Teacher Appreciation Banner Decorations - 15 Pcs Thank You Teachers Week Party Garland Hanging Swirls Honeycomb Centerpieces Backdrop Photo Booth Props Decor Supplies for Classroom School,N/A,$16.99,,,,False,https://m.media-amazon.com/images/I/81oj-uZ7g4L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81oj-uZ7g4L._AC_SL1500_.jpg,,2026-04-23T12:35:49.049242,
46,1,Organic,,28.0,B0DSLFT2JP,Yungyan 50 Pcs Graduation Teacher Appreciation Party Supplies Red Apple Paper Plates Gift Thank You School Staff Plates Apple Shape Disposable Tableware Teacher Appreciation Week Party Decoration,N/A,$14.99,,4.7,7.0,False,https://m.media-amazon.com/images/I/71HTwaMaHAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71HTwaMaHAL._AC_SL1500_.jpg,,2026-04-23T12:35:49.053575,
47,1,Organic,,29.0,B0CY7XN5TL,We Love Our Teachers Banner National Teacher Appreciation Week Decoration Thank You Teachers Day Party Celebration Decor Supplies,N/A,$9.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/71JqcS1lEML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71JqcS1lEML._AC_SL1500_.jpg,,2026-04-23T12:35:49.057465,
48,1,Organic,,30.0,B0DPQK883T,"Mocsicka Thank You Teacher Banner Black Teacher Appreciation Week Party Decorations We Appreciate All You Do Backdrop for School Supplies (Black, 70.8x43.3 inch)",N/A,$6.99,,4.0,6.0,False,https://m.media-amazon.com/images/I/81bFJ8+wmGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81bFJ8+wmGL._AC_SL1500_.jpg,,2026-04-23T12:35:49.060879,
49,1,Organic,,31.0,B0DSK865TL,"96 Pcs Teacher Appreciation Week Supplies Thank You Teacher and Staff Tableware for 24 Guest Disposable Plate Napkin Fork for 2026 Teacher's Day Graduation End of Year Party Supplies(Black,Classic)",N/A,$16.99,,3.8,4.0,False,https://m.media-amazon.com/images/I/81um7EImIEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81um7EImIEL._AC_SL1500_.jpg,,2026-04-23T12:35:49.064229,
50,1,Organic,,32.0,B0CVVQJY5C,96 Pieces Teacher Appreciation Party Plates Thank You Theme Party Decorations Best Teacher Day Paper Plates and Napkins Thank You Disposable Dessert Tableware Set Graduation Supplies 24 Guests,N/A,$18.99,,4.6,2009.0,False,https://m.media-amazon.com/images/I/81f+nM8HpEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81f+nM8HpEL._AC_SL1500_.jpg,,2026-04-23T12:35:49.067502,
51,1,Organic,,33.0,B0GFTVRG8S,"48Pcs Teacher Appreciation Decorations Napkins, Disposable Thank You Teachers and Staff Paper Napkins, We appreciate You Napkins for Teacher Appreciation Week School Office Classroom",N/A,$9.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81RlcTKBGoL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81RlcTKBGoL._AC_SL1500_.jpg,,2026-04-23T12:35:49.070915,
52,1,Organic,,34.0,B0CY1Z89QN,"Generic 3 Pieces Thank You Teachers Table Covers Teacher Appreciation Week Party Supplies Best Teacher Tablecloths for Teachers Day Party Graduation Classroom Table Decorations, Blue",N/A,$12.99,,5.0,4.0,False,https://m.media-amazon.com/images/I/81tPrHv9+ZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81tPrHv9+ZL._AC_SL1500_.jpg,,2026-04-23T12:35:49.074095,
53,1,Organic,,35.0,B0GFCM7SYB,"50 Pcs Teacher Appreciation Paper Plates 9"" Thank You School Staff Disposable Heavy Duty Paper Platters Red Apple Shaped Dessert Plates for Graduation Teacher Appreciation Week Party Supplies",N/A,$16.99,,,,False,https://m.media-amazon.com/images/I/71T35zqQjSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71T35zqQjSL._AC_SL1500_.jpg,,2026-04-23T12:35:49.077690,
54,1,Organic,,36.0,B0BW9138X6,"Thank You for All You Do Banner Gold, Thank You We Appreciate You Banner, Employee Teacher Appreciation Decorations, Appreciation Decorations for Doctor Nurse Staff Housekeeping",N/A,$9.99,,4.6,55.0,False,https://m.media-amazon.com/images/I/81D7pWtQIyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81D7pWtQIyL._AC_SL1500_.jpg,,2026-04-23T12:35:49.082541,
55,1,Organic,,37.0,B0GL7Q814Z,Teacher Appreciation Decorations Set with Fabric Backdrop Banner Swirls Centerpieces & Balloons Large Colorful Glitter Thank You Party Supplies Staff Appreciation Week for School Classroom Teachers,N/A,$19.99,,,,False,https://m.media-amazon.com/images/I/81g3rejaqaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81g3rejaqaL._AC_SL1500_.jpg,,2026-04-23T12:35:49.086211,
56,1,Organic,,38.0,B0G76GBD7J,"Teacher Appreciation Backdrop, Large 71"" x 43"" Thank You Teachers Banner with Hemmed Edges for Classroom School Office, Teacher Appreciation Week Party Supplies Background, Chalkboard Style",N/A,$8.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/71gZxLNC6OL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71gZxLNC6OL._AC_SL1500_.jpg,,2026-04-23T12:35:49.089677,
57,1,Organic,,39.0,B0CYM428S6,Teacher Appreciation Decorations Banner Glittery Thank You Teachers We Appreciate You Appreciation Week Garland with Glittery Red Heart Apple Day Teachers Day Party Decorations Supplies,N/A,$8.28,,5.0,3.0,False,https://m.media-amazon.com/images/I/61PvFcSfWQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61PvFcSfWQL._AC_SL1500_.jpg,,2026-04-23T12:35:49.093057,
58,1,Organic,,40.0,B0FZZSRZYZ,Peryiter 4 Pcs Teacher Appreciation Plastic Tablecloth 54 x 108 Inch Disposable Waterproof Table Cover for School Teacher Appreciation Week Classroom Kindergarten Party Supplies(Multicolor),N/A,$14.99,,4.7,4.0,False,https://m.media-amazon.com/images/I/81+s9OzavZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+s9OzavZL._AC_SL1500_.jpg,,2026-04-23T12:35:49.096499,
59,1,Organic,,41.0,B0GJ99PHC7,"Thank You Decorations Tablecloth, 3 Pack Disposable Thank You for All You Do Theme We Appreciate You Table Cover Party Supplies for Employee Staff Teacher Nurse Appreciation, 55in x 86in",N/A,$9.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/81xE08+j-oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81xE08+j-oL._AC_SL1500_.jpg,,2026-04-23T12:35:49.099707,
60,1,Organic,,42.0,B0CT36Q9XN,"HOWAF Teacher Appreciation Decoration Window Clings Decals, Apple Gnome Double-Sided Window Decals for Teacher Appreciation Week Party Supplies, Thank You Teachers Window Stickers for School Classroom",N/A,$7.99,,4.6,3.0,False,https://m.media-amazon.com/images/I/818YlIPQ23L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/818YlIPQ23L._AC_SL1500_.jpg,,2026-04-23T12:35:49.103031,
61,1,Organic,,43.0,B0GKH7BMCV,35 Pieces Teacher Appreciation Week Photo Booth Props Kit Funny Thank You Teachers and Staff Props Sticks Teachers Day Party Decorations Supplies,N/A,$8.99,,4.9,25.0,False,https://m.media-amazon.com/images/I/81pcxdVgYXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81pcxdVgYXL._AC_SL1500_.jpg,,2026-04-23T12:35:49.107511,
62,1,Organic,,44.0,B0GTLYGXPG,"YVAINE Nacho Average Teachers Door Cover Banner Fiesta Cinco de Mayo Teacher Appreciation Decoration Thank You Teachers Door Background Happy Teachers Appreciation Week Banner Party Supplies,72.9×35 Inch",N/A,$8.99,,,,False,https://m.media-amazon.com/images/I/81unVys07dL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81unVys07dL._AC_SL1500_.jpg,,2026-04-23T12:35:49.110935,
