data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,79x 15 Inch Mexican Tiki Thatch,https://aax-us-east-retail-direct.amazon.com/x/c/JPxo__yzsNJ0-j-TJ0ejrQgAAAGduFyR3QEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICDmKczF/clv1c_ek-wBPf3Vcba3jI2mCX3I_BwCrM5b0Wr2ZMBfx63-hCCq24-jqTz-eyFEhc0kum_X8Fs-Otslc63d58e4U_5v2pWCCoC2POMWAiDAlqnUP0-hQMBs1AHTej50lGkBsG6ONvU81AeOSF9gGQSz-V0uMDbodK0dtVbs0d1yim_xB4_GIx5lQMMnA5-V5hvDWO3BM2Za0pIMyugZf2tNsppuXjSG0k6gQqS-wAqihEpa1PU-FYvgqGdwGQF1GO_SHMRodPgF1KBjODxX3BL2V2ZWHuxzPf2lP9dTKeKahaxODlnchcrIXYtGx-cDn2Fyp-meh3sFPeLHdoIS50tdt6AO1ixq6Dw5sRTl8kof2YVFuvm2WLBK5hmTpeNPMGNEV7N1OFMb_NnrEJcPWiz0MFpKVozjozdY3Pfngwz8u6lRo7g5UERb18xsJkoOnvYqnTVlpa24nmAa5P-1caWUcl6W6isSUA0B7pD-nsAJ1T_be_tllQ9W-GuZp3pLp3c4ca5hl_hDYL8DdbwAGIh3v_juw7D9F_8BWi9IPCx5AfMs_Jy134kGWD5Y4dUC8rfGdPiKfat2CvceNQ_npju--wMasPZ4XcYOkwbBaGL0Wq-ELH0YDDCRei03zIHiG62Xl1E9VgHA-m5nqjlvyHeP7q-cBZh4UNCtK19dNAs2RRDuWaIfxUtVkof98YzOJ-gae2YrVIlOlEuV-dbs2N11EAcoz5es9ZBhHonWXOlbF6JNAWp8IZ-s8U4ePcE9OlDTyoQG9UtHdSOMkWF1Om4H45cFHm6xYrKC8VpZ20gQ_VhOjDvCsG4n0wWm5vZ6aVGJbO-HCRg5fBf3tEqaJVmaJBVljRbm8qxm97VsLkDsGW5slOYiR0CyhufgMMw1sOgN9NimLNqxJQmJoFAMv6cr5uBXFwdwSjp0ZP2g2zb6E2lJKF_ArF0lsuYF-Y5DAqAHEPR3U6Mippcmv9HD9andoenGQY52Dr-QPWnfHP6xVcWrT0t9L2LczSQAdMQgVmVIgeD-nLefrtMuOdv5XCPCt-rYucH_qxqWM5SBgXxz7eGndMTXfvy_43Z1ajInsEekf4lzSIMnt-N6buX26vX1Jjm4HvzuIzk34Y9HPAaTxji77FBpeWIzZbPbE4jxju0ORw9MphThKrsU7tMS4u7pEq85A_hbEnr4YuNj6DnecSzL3qLefcaqNUVpY2llrQ8U-4xALcryPz3mxtTgrPrTibKKd60lcl2Rh4GQm--YXUHk8WZTIPG-EpNt2b0EtIUD7wjdxGNJ9sQuFTIWYYsyPJQpCv_M3VEQaRqJtJ00VeinTQeoKkiYX3B89BOJzliQ3AR6Ml4hWnYPJwsPhR-h9D18eAWc9brYK4Um4a1b5fIF_AoyGj9DRC5TRnPWJ121lRVWKey2Uw6_qOi8ZBdZ7nl_4vq6L4HA9egZxHQIXjyghjdkbpy8lhm7QnXgdBi3uxItl9hetRNVDv8uJFnBTyG4KvA8F69Ar0sJRaFPPs7oxfup7NvHgmUoCuv-sdZ04Dd1I7N5fJa9EhVryR_bo3GyM98gZEzyI6Y3ZGbHHuJduElVrorPaMV1svW7Iufvhl004vye2SWCYCm7U8hV-LIcdvs5Py55lIzpqngG6SZSgFhsFZJg5ogGoRUZBSxcpIo66pCQkZfrvr3Y1R0uTGm1muM1NEY_wmDM1Es/https://www.amazon.com/stores/page/1A85C5A7-DE18-48C8-B48B-6DDD8577E6A3/?_encoding=UTF8&store_ref=SB_A043678326EGSHO6UEYB5-A01406842USU9HSZ35BQE&pd_rd_plhdr=t&aaxitk=d4653f76c709988151a6060480aea4c0&hsa_cr_id=0&lp_asins=B09WYGBSDV%2CB09WYGQZY3%2CB0C36H6RY1&lp_query=tiki%20party%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=gUxwD&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=CRSZ04HK9SV3KXQBFYYA&pd_rd_wg=6v8SM&pd_rd_r=87969480-6d11-432d-8a50-8cd77d80ded4,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/3918dc19-509f-4b21-a7d7-5d665bf4d4dd._CR0,0,315,145_AC_SX130_SY60_CB1169409_QL70_.jpg",,79x 15 Inch Mexican Tiki Thatch,2026-04-23T11:22:52.515621,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:22:52.517170,
1,1,SB,2.0,,,N/A,N/A,,,,,False,,,N/A,2026-04-23T11:22:52.519766,
2,1,SB,3.0,,,N/A,N/A,,,,,False,,,N/A,2026-04-23T11:22:52.522245,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T11:22:52.531409,
4,1,Organic,,2.0,B09NM2FPKX,"Fovths Luau Grass Table Skirt Natural 9 Feet x 29.5 Inch Hawaiian Table Skirt for Tropical Hawaiian Party Decorations Luau Costume Party, Straw Yellow",N/A,$8.49,,4.5,2421.0,False,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_SL1500_.jpg,,2026-04-23T11:22:52.536799,
5,1,Organic,,3.0,B073RBVTXT,"ALINK 50 Umbrella Parasol Drinking Straws, Hawaiian Beach Cocktail Luau Party Decorations Supplies",N/A,$6.99,,4.6,10353.0,False,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_SL1500_.jpg,,2026-04-23T11:22:52.542324,
7,1,Title,,,,From frequently shopped brandsSponsored| Based on number of views and purchasesOutus 30 Pieces Hawai,,,,,,False,,,,2026-04-23T11:22:52.546420,
9,1,Title,,,,"Debug info copied.SponsoredJanlaugh 8 Pcs Tiki Totem Box Decor with Light, Luau Party Decorations fo",,,,,,False,,,,2026-04-23T11:22:52.547060,
10,1,Title,,,,paper hawaiian flower wall decorSponsored|Shop Paper JazzShop nowPrevious pageTropical Bird Toucan L,,,,,,False,,,,2026-04-23T11:22:52.549062,
