data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T12:18:58.576182,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:18:58.577001,
3,1,SP,1.0,,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T12:18:58.581914,
4,1,SP,2.0,,B0F2HKZFGN,Cocktail Picks 100PCS 4 Inch Drink Umbrellas Cocktail Toothpicks for Appetizers Paper Umbrellas for Tiki Luau Hawaiian Tropical Party Decoration,N/A,$7.99,,4.0,28.0,False,https://m.media-amazon.com/images/I/71hts54miIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71hts54miIL._AC_SL1500_.jpg,,2026-04-23T12:18:58.584988,
5,1,SP,3.0,,B0GCYVKX4C,"Paper Jazz Hawaiian Party Decorations For Birthday Tropical Party Decor for Tiki Bar,Aloha Banner with Luau Table Centerpiece,Summer Paper Fan Favor for Beach,Pool Party,Jungle Theme Party",N/A,$14.99,,4.6,619.0,False,https://m.media-amazon.com/images/I/91irdJMg0bL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91irdJMg0bL._AC_SL1500_.jpg,,2026-04-23T12:18:58.587961,
6,1,SP,4.0,,B0GL84Y92R,"Pickmesh 400 Pcs Hawaiian Tiki Bar Party Supplies - Disposable Tiki Plates and Napkins, Cups and Cutlery Party Favor Hawaiian Luau Decorations for 50 Guests",N/A,$33.99,,4.6,47.0,False,https://m.media-amazon.com/images/I/81+jUnYrbcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+jUnYrbcL._AC_SL1500_.jpg,,2026-04-23T12:18:58.590886,
7,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T12:18:58.596480,
8,1,Organic,,2.0,B071JR7GYP,"JOYIN 60"" Inflatable Palm Tree Cooler, Beach Theme Decor, Pool Party Decorations, Luau Hawaiian Birthday Party Supplies, Ocean Jungle Tropical Themed Summer Outdoor Drink Cooler",N/A,$19.99,,4.3,5372.0,False,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_SL1500_.jpg,,2026-04-23T12:18:58.599486,
9,1,Organic,,3.0,B09NM2FPKX,"Fovths Luau Grass Table Skirt Natural 9 Feet x 29.5 Inch Hawaiian Table Skirt for Tropical Hawaiian Party Decorations Luau Costume Party, Straw Yellow",N/A,$8.49,,4.5,2421.0,False,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_SL1500_.jpg,,2026-04-23T12:18:58.603926,
11,1,Title,,,,Customers frequently viewedSponsored60pcs Luau Photo Booth Props - Hawaiian/Tropical/Tiki/Summer Poo,,,,,,False,,,,2026-04-23T12:18:58.607377,
13,1,Title,,,,Debug info copied.SponsoredPickmesh 400 Pcs Hawaiian Tiki Bar Party Supplies - Disposable Tiki Plate,,,,,,False,,,,2026-04-23T12:18:58.607896,
14,1,Title,,,,Inflatable Pink Flamingo DecorationsSponsored|Shop YaomiaoShop nowPrevious pageYaomiao 6 Pieces Infl,,,,,,False,,,,2026-04-23T12:18:58.608955,
15,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:18:58.609087,
16,1,Organic,,4.0,B0BYJDX7P4,96 Pieces Tiki Party Decorations Luau Party Plates Hawaiian Aloha Decorations Tropical Tiki Paper Plates and Napkins Hawaiian Disposable Dessert Tableware Set Luau Supplies 24 Guests,N/A,$17.99,,4.6,2009.0,False,https://m.media-amazon.com/images/I/81wx+aDV1YL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81wx+aDV1YL._AC_SL1500_.jpg,,2026-04-23T12:18:58.613249,
17,1,Organic,,5.0,B0C4GK8YHJ,"Auihiay 50PCS Tiki Bar Hut Kit, Tiki Hut Decoration Includes Tiki Bar, Banner, Roof, Palm Leaves, Flower Garland and Table Skirt, Great Hawaiian Pool Beach Luau Party Decor Supplies",N/A,$66.49,,4.5,152.0,False,https://m.media-amazon.com/images/I/81o1AXf6R9L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81o1AXf6R9L._AC_SL1500_.jpg,,2026-04-23T12:18:58.616388,
