data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T10:47:38.434367,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:47:38.435128,
3,1,Organic,,1.0,B0CV33D9F1,"3 Pcs Iridescent Waves Tablecloths - Disposable Plastic Ocean Blue Table Cloth Rectangle Table Covers for Under the Sea Beach Surf Pool Party Birthday Party Decorations, 54 x 108 Inch",N/A,$8.99,,4.5,682.0,False,https://m.media-amazon.com/images/I/81jVudN5HQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81jVudN5HQL._AC_SL1500_.jpg,,2026-04-23T10:47:38.440888,
4,1,Organic,,2.0,B07YDK14GQ,Decor365 Under the Sea Party Decorations White Bubble Garlands Little Mermaid Birthday Decorations Bday Hanging Streamer Beach Banner Decor Underwater Backdrop Kids Ocean Party Supplies,N/A,$11.98,,4.6,6495.0,False,https://m.media-amazon.com/images/I/51Gcx9gKPQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51Gcx9gKPQL._AC_SL1500_.jpg,,2026-04-23T10:47:38.444333,
5,1,Organic,,3.0,B0GMWTYKCC,4 Pcs Under The Sea Coral Cutouts Decorations Colorful Ocean Seaweed Stand Party Decorations Set for Baby Shower Birthday Party Decor Photography Props (Under The Sea -1),N/A,$29.99,,,,False,https://m.media-amazon.com/images/I/8173eVrpy8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8173eVrpy8L._AC_SL1500_.jpg,,2026-04-23T10:47:38.447951,
7,1,Title,,,,Debug info copied.Sponsored90shine 12PCS Tropical Fish Party Decorations Supplies- Under-The-sea/Mer,,,,,,False,,,,2026-04-23T10:47:38.448848,
8,1,Title,,,,Baquler Set of 12 Jellyfish  Hanging Paper LanternSponsored|Highly bought brand in paper lantern lam,,,,,,False,,,,2026-04-23T10:47:38.449912,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:47:38.450038,
10,1,Organic,,4.0,B0C4DFTKP8,"Under the Sea Party Decorations 98Pcs, Ocean Theme Birthday Party Supplies Include Backdrop Tablecloth Bubble Garlands Cake Topper Ocean Animals Balloons for Pool Beach Party Baby Shower (Ocean-01)",N/A,$22.99,,4.7,543.0,False,https://m.media-amazon.com/images/I/910e-bJJFyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/910e-bJJFyL._AC_SL1500_.jpg,,2026-04-23T10:47:38.453012,
11,1,Organic,,5.0,B0CZ637F9S,"OBXT 10"" Blue Hanging Jellyfish Paper Lanterns - Under the Sea Party & Mermaid Birthday Decorations, Baby Shower, Nautical Events, Ocean Theme Classroom & Beach Room Decor (Set of 6)",N/A,$16.79,,4.8,713.0,False,https://m.media-amazon.com/images/I/81vZ2BQo+gL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81vZ2BQo+gL._AC_SL1500_.jpg,,2026-04-23T10:47:38.457070,
12,1,Organic,,6.0,B0C9BQ6MWN,"2 Pack Fish Net Decorations for Party, Natural Cotton Hawaiian Party Fishing Net Decorative, Nautical Themed Cotton Fishnet Under The Sea Pirate Ocean BeachHalloween Decor",N/A,$9.99,,4.7,1104.0,False,https://m.media-amazon.com/images/I/71z3Ekr-WZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71z3Ekr-WZL._AC_SL1500_.jpg,,2026-04-23T10:47:38.461152,
13,1,Organic,,7.0,B000R4Q4C2,Sea Creatures Mini Centerpieces 5.5-Inch (4-Pcs),N/A,$5.37,,4.4,1437.0,False,https://m.media-amazon.com/images/I/715JbNe9M8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/715JbNe9M8L._AC_SL1500_.jpg,,2026-04-23T10:47:38.465121,
14,1,Organic,,8.0,B0F2P6XFMC,"12Pcs Iridescent Round Foil Balloons, 22"" 15"" 10"" 4D Clear Ball Balloon, Holographic Balloons for Birthday Wedding Folding Rainbow Under The Sea Mermaid Party decoration",N/A,$14.99,,4.5,544.0,False,https://m.media-amazon.com/images/I/61vJxH7aukL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61vJxH7aukL._AC_SL1500_.jpg,,2026-04-23T10:47:38.470497,
15,1,Organic,,9.0,B0BWRJF5DX,2 Pack Blue Party Decorations Ocean Party Decor Supplies Blue Party Streamers Birthday Decorations Tinsel Foil Fringe Curtains Photo Booth Props Celebration Decorations,N/A,$5.97,,4.4,10636.0,False,https://m.media-amazon.com/images/I/81cqCrQbNhL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cqCrQbNhL._AC_SL1500_.jpg,,2026-04-23T10:47:38.474290,
16,1,Organic,,10.0,B09H7RL845,"American Greetings Mermaid Party Supplies, Banner Decoration Kit (7-Count)",N/A,$8.12,,4.8,62.0,False,https://m.media-amazon.com/images/I/819CjWHvgoL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/819CjWHvgoL._AC_SL1500_.jpg,,2026-04-23T10:47:38.478349,
17,1,Organic,,11.0,B0CWGR4MN9,"Large Dolphin Balloons,2 PCS 46 Inch Ocean Animals Foil Mylar Balloons,Sea Animal Balloons for Kids Birthday Themed Party Decorations",N/A,$6.98,,4.5,532.0,False,https://m.media-amazon.com/images/I/61r37M388CL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61r37M388CL._AC_SL1500_.jpg,,2026-04-23T10:47:38.483780,
18,1,Organic,,12.0,B003FQ1ZBY,Fun Express Inflatable Octopus Ring Toss Game - Under The Sea Party Decorations & Birthday Party Games for Kids 3-12 | Indoor Outdoor Yard Games | Inflatable Carnival Games for Family Fun,N/A,$10.27,,3.3,204.0,False,https://m.media-amazon.com/images/I/61K5NWn4dWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61K5NWn4dWL._AC_SL1500_.jpg,,2026-04-23T10:47:38.487348,
19,1,Organic,,13.0,B0B3LNTHLW,"JOYIN 24 Pcs Mini Sea Animal Plush Toys (24 Units 3"" Each), Stuffed Sea Animal Bulk for Kids Birthday Party Favors, Pinata Fillers, Goodie Bag Fillers, School Prizes,Carnival Party Supplies",N/A,$19.99,,4.6,6971.0,False,https://m.media-amazon.com/images/I/91-pZWSSZpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91-pZWSSZpL._AC_SL1500_.jpg,,2026-04-23T10:47:38.491109,
20,1,Organic,,14.0,B0CKX7H63H,Tinsel Foil Fringe Curtains Wavy Backdrop for Parties Sparkle Metallic Wavy Foil Fringe Backdrop Curtain for Party Decorations Photo Booth Props for Birthday Graduation Wedding,N/A,$5.99,,4.5,2550.0,False,https://m.media-amazon.com/images/I/91rXc76MkEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91rXc76MkEL._AC_SL1500_.jpg,,2026-04-23T10:47:38.495880,
21,1,Organic,,15.0,B0D5CBZWRS,"12 Pack Fidget Stress Balls for Adults, Cute Octopus Stress Relief Stress Ball, Bulk Squishy Squeeze Ball Set and Birthday Party Favors",N/A,$16.09,,4.0,677.0,False,https://m.media-amazon.com/images/I/81mEImVmTyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81mEImVmTyL._AC_SL1500_.jpg,,2026-04-23T10:47:38.499485,
22,1,Organic,,16.0,B0BVFF3MM6,"Wavy Tinsel Foil Fringe Curtains Teal Blue Streamers Backdrop for Ocean Themed Party Blue Birthday Under The Sea Party Decorations(2 Pack,3.2 ft x 6.6 ft)",N/A,$5.98,,4.7,764.0,False,https://m.media-amazon.com/images/I/81orSPGDQtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81orSPGDQtL._AC_SL1500_.jpg,,2026-04-23T10:47:38.503042,
23,1,Organic,,17.0,B08LCSJ2Y8,PartyWoo Crepe Paper Streamers 6 Rolls 492 ft Pack of Blue Pastel Blue Green and Lime Crepe Paper for Graduation Wedding Baby Shower Gender Reveal Birthday Party Decorations (1.8 Inch x 82 Ft/Roll),N/A,$6.99,,4.6,5416.0,False,https://m.media-amazon.com/images/I/71dB1n-T+AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71dB1n-T+AL._AC_SL1500_.jpg,,2026-04-23T10:47:38.508692,
24,1,Organic,,18.0,B0CF5K74K5,"Mermaid Birthday Decorations, Jellyfish Paper Lanterns Pink Lavender Blue Hanging Lantern for Mermaid Baby Shower Theme Under The Sea Ocean Birthday Party Decorations Pack of 6",N/A,$17.99,,4.8,1064.0,False,https://m.media-amazon.com/images/I/81aY3TCLQ3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81aY3TCLQ3L._AC_SL1500_.jpg,,2026-04-23T10:47:38.511975,
25,1,Organic,,19.0,B0943G99QR,40 Ft Iridescent Mermaid Garland with Jellyfish Seashell Starfish Pearl Holographic Paper Streamer for Little Mermaid Rainbow Theme Birthday Bachelorette Baby Shower Under the Sea Party Decorations,N/A,$12.99,,4.6,2630.0,False,https://m.media-amazon.com/images/I/81hDjIArBYS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hDjIArBYS._AC_SL1500_.jpg,,2026-04-23T10:47:38.515797,
26,1,Organic,,20.0,B0F93L1BFN,Under the Sea Party Decorations 140pcs Blue and sand white Balloons with Starfish Foil Balloons for Summer Ocean Beach Baby Shower Birthday Party Supplies,N/A,$17.99,,4.4,30.0,False,https://m.media-amazon.com/images/I/81R2vJowopL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81R2vJowopL._AC_SL1500_.jpg,,2026-04-23T10:47:38.519923,
27,1,Organic,,21.0,B0BWHFQKC5,"Katchon, Xtralarge Wavy Blue Foil Fringe Curtain - Pack of 2 | Blue Streamers for Under The Sea Party Decorations | Foil Fringe Backdrop for Birthday, Cruise Door Decorations, Pool Party Decorations",N/A,$12.99,,4.7,797.0,False,https://m.media-amazon.com/images/I/915gfOmzz7L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/915gfOmzz7L._AC_SL1500_.jpg,,2026-04-23T10:47:38.523384,
28,1,Organic,,22.0,B07W7R7PGG,"Sea Shells Mixed Beach Seashells 9 Kinds 1.2""-3.5 ""Various Sizes Natural Seashells and 2 Kinds of Natural Starfish for Beach Themed Party DIY Crafts Fishtank Vase Fillers Home Wedding Decorations",N/A,$9.99,,4.5,6583.0,False,https://m.media-amazon.com/images/I/81ZRnZAoqgL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ZRnZAoqgL._AC_SL1500_.jpg,,2026-04-23T10:47:38.527033,
29,1,Organic,,23.0,B0CCRQTHSH,"32 Pcs Mermaid Bubbles for Kids with Gift Box, 8 Color Mini Pastel Bubble Wand for Mermaid Birthday Decorations, Ocean Party Favors, Goody Bag Stuffer, Under The Sea Animal Gift for Girls Toddlers",N/A,$9.98,,4.7,519.0,False,https://m.media-amazon.com/images/I/81JAIZ0c6GL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81JAIZ0c6GL._AC_SL1500_.jpg,,2026-04-23T10:47:38.530506,
30,1,Organic,,24.0,B0CPLZMC78,"50 Shark Candy Bracelets, Cool Blue Candy for Under the Sea and Baby Shark Party Favors, Decorations and Goody Bag Fillers, Individually Wrapped In a Convenient Display Tub, Bulk Pack of 50, By 4YoreElves",N/A,$14.99,,4.8,477.0,False,https://m.media-amazon.com/images/I/81KeWh0y3cL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81KeWh0y3cL._AC_SL1500_.jpg,,2026-04-23T10:47:38.537999,
31,1,Organic,,25.0,B0FYC1YJTS,"295Pcs Mermaid Birthday Decorations Serve 25, Mermaid Party Decorations Include Balloon Garland Arch, Plates, Tablecloth, Cake Topper, Cupcake Stand, Cupcake Toppers, for Under The Sea Party",N/A,$30.99,,4.8,38.0,False,https://m.media-amazon.com/images/I/81gdFMKP9VL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81gdFMKP9VL._AC_SL1500_.jpg,,2026-04-23T10:47:38.543047,
