data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Summer Camp Them Tiki Crafts with LED Candle,https://aax-us-east-retail-direct.amazon.com/x/c/JFPZ7BkXBVViENCn_ypBd_UAAAGdtNMXXgEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICChaqZI/clv1c_ek-wBIHXErbWDn2nI5drJ16WnhIPnk4EVkw15lbmXrc5LbvTyU14MQrbY2GBAXnpLYhgzgB_SQOJ0--AlCLecIT7GE2xY8r99zFLIAmJpI8u6p07ILuUAzDDw7tzriYlvxEEgTgpQX-8LaEEzqlrvPr-sNyalAXKk6WyyTCh5NLfOauZCPKZa0ZP037v2nPOuKzxIy9vz8YJl2WwMEL0_iENSFoHYCoj1PoeIjIYOgoqkQfoxAPsf5TfS2bfcnjr34rK7qQ4ShFvbmkxb-DGSaCwjaGTgzdz2wxsfRhIcDmyCjAzNj8qHz8ummSUmps-9bQlvaldYLxX0yBeKgYRMVNB_yfAlf2XxeRuES422a1FKvdSqVbV8JVZFIN3FWPkx_ut0MxVnf4qopdCNnSXkxloUJnGkAuop_KmCzaUvBNaStULv9663nQKup9PgzpRVaRY1iZS5-JlE4H0px4_OFgDYcjEQ07WUECQrXn4EU9VSha-9KkwYCoTJTmOad6lXXlz_wzoGKQCojiY2KfJ6JqcLtxCuuLjqr5dxPaxE2ZRMZWpdSmk0mfZsE81kogR758Nqo3R7CMgfLTYFmcW7rfjGfzWrvKOIg1_WPMnYzIiH6txGpQcGO7v9cKoo2dGh2ETUjn1vNAVHoIuC-cP5LWg9hLGzkRPUo6Q-z7j7TduJ1X6ITiKAHOVAa_K_XlfXQc4WtOTELfCazhvcpfexd9R0tJi5VUqr5H6QqwQU_dKI0Hvo8M7D0ndQoezcnH94DKFL7HFxSS9p_4OA2m1fMDhKN8l6i74taXtL8Z_kSUCDaN662VRM1eSwbm2Jsg-tM_BBGgwukZd-EL0bb79_D1TbLOG3RR0MCdV2_6p98PApBQuuGoNp0rYpt3j86SDh5ZjOYva6pn07Wg6EQ2oF-YM9RWzDCFndlUMDlyLFxjHWdnKvwZlbPNaqU39dVnV5QoCOilNzpod64Hiv_IgcUDFI2k1UUzkwSBEshYSSsYQgwe700P156mpBnr_BS7oQnZiidNxo1qaCs6ifIAINGARlyUFQKs9MRrGcF4HGsYGC42S3bkpYZuO9qTmqTk8N5f-m6b3s2H1X1XniQgEWUv0S3XdkhtaAOH3L_C7RScQK8Z2F99SUL9eUrQXbBUx88ltLK2ysm0n9hYpx2JxCXatGoXUVntGY0a3ntODNHb-vUUBn9u247wzofTCdO9YBBGJpyhr4adxEytoYRb4ZW1pdga1383AY1RdzFJgm79ktnli-GMssdgAclpygxmtYeDK9TW8hzcuT4U80DqgUu-YPGfWTxlVQnKuchcKIR7i_pYy5nCiXzLevlhkkcQgLyNMbq30SeIjrTLOC-cE2kfwwNP1nmrV8-PDqRcdhMCRCjZCLp84JRuIz349baBCRxRB3ZssbChmVhETaLq1h2QmHb2xS2V0Yle62Z_BfCGFnMhnPeSBjTR22uw1MloYPKvDCuhWwCDX_6pes4aEcXOAtI4KB27qa_DHrfjdiuMrDedh2Rv2n30hAlYsyeDED8AAEbvB2P76s4ziUZJk7PGpjNI9vR6II55_CH5fm9EB4L2P_H7YLRHAz2EngF8-lTxmUCu9fm6xiwcOvsHgyoX8G8yM06j2gSvxk9FJYf1kN9xvQRS4C87lFkpSUhI08KmcOveiLzsphLfe-bibK7lace9NG73Itmg/https://www.amazon.com/stores/page/3BA2B5C8-226C-414E-A7A5-FE20DE5E3D09/?_encoding=UTF8&store_ref=SB_A025113712BE26UJLMXJJ-A0010634E1K9L3QE23L3&pd_rd_plhdr=t&aaxitk=e01a4a4a877e25981f6331af15fefac6&hsa_cr_id=0&lp_asins=B0G4PVHJYP%2CB0G4RG8T17%2CB0GDG4GLPQ&lp_query=vbs%20crafts&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=vuc4c&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=G6B2MX7JEJFXMGZYG1TM&pd_rd_wg=pRqN1&pd_rd_r=31dbdebe-1c2a-4823-a0a5-5932812efa57,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/47f7c91d-3499-43d7-aa86-515a74fd248e._CR0,0,800,800_AC_SX130_SY60_CB1169409_QL70_.png",,Summer Camp Them Tiki Crafts with LED Candle,2026-04-22T10:53:47.700988,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T10:53:47.701786,
3,1,Organic,,1.0,B0BMZ5WV24,Kathfly DIY Wood Cross on Cord Pendant Necklace Sunday School Crafts for Kids Wood Cross Necklace with Colorful Beads Religious Party Favor for Vbs Church Easter Gifts,N/A,$9.99,,4.4,272.0,False,https://m.media-amazon.com/images/I/817iE8MF+yL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817iE8MF+yL._AC_SL1500_.jpg,,2026-04-22T10:53:47.705897,
4,1,Organic,,2.0,B0BMKTWCPL,"CY2SIDE 60PCS Religious Scratch Bookmarks, DIY Crosses Rainbow Color Paper Cards Craft Kits for Christian Sunday School Church, Easter Magic Art Project for Vacation Bible Classroom",N/A,$9.99,,4.8,173.0,False,https://m.media-amazon.com/images/I/81IlhDIkF7L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81IlhDIkF7L._AC_SL1500_.jpg,,2026-04-22T10:53:47.711479,
5,1,Organic,,3.0,B0GJSYDZX3,FunooFuno 24 Sets VBS Craft DIY Jesus Light Kit Illumination Theme Christian Suncatcher Crafts Light Bulb Cross Stained Glass Window Art for Sunday School 2026 VBS DIY Activity,N/A,$13.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81gl9ZY7LLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81gl9ZY7LLL._AC_SL1500_.jpg,,2026-04-22T10:53:47.715176,
7,1,Title,,,,From frequently shopped brandsSponsored| Based on number of views and purchasesBest Sellerin Kids' D,,,,,,False,,,,2026-04-22T10:53:47.718553,
9,1,Title,,,,Debug info copied.SponsoredRattanView 48 Pcs Rainforest Falls VBS Craft Color Your Own Keychains DIY,,,,,,False,,,,2026-04-22T10:53:47.719039,
10,1,Title,,,,Wooden Bird Houses Kits Bulk for KidsSponsored|Highly bought brand in craft kits|Shop DoubleFillShop,,,,,,False,,,,2026-04-22T10:53:47.720147,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-22T10:53:47.720278,
12,1,Organic,,4.0,B0D83HR545,Blueweenly 48 Pack Jesus Wood Religious Craft Kit Magnets Vacation Bible Sunday School DIY Coloring Wooden Religious Crafts for Christian Sunday School Art Party Decoration Gift,N/A,$17.99,,4.7,142.0,False,https://m.media-amazon.com/images/I/81+eyhP+RYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+eyhP+RYL._AC_SL1500_.jpg,,2026-04-22T10:53:47.723579,
13,1,Organic,,5.0,B0D99R5JLZ,"Ferreve 35 Sets Christian Bracelet Crafts Jesus Loves Me Bead Wristband Craft Kit DIY Sunday School Bracelet with Love Letter Charms for Religious VBS Gifts Making(Jesus Love Me,Rainbow)",N/A,$13.49,,4.6,87.0,False,https://m.media-amazon.com/images/I/81xyzrjZ6hL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81xyzrjZ6hL._AC_SL1500_.jpg,,2026-04-22T10:53:47.727571,
14,1,Organic,,6.0,B0D9N3HWWG,"Colingmill 30 Pack Vbs Wind Chime Craft Kit, Make Your Own Religious Cross Wind Chimes, Wooden DIY Crafts with 10 Designs, Christian Crafts for Church, Sunday School, Party Favors",N/A,$18.99,,3.2,9.0,False,https://m.media-amazon.com/images/I/81w4s-EA6cL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81w4s-EA6cL._AC_SL1500_.jpg,,2026-04-22T10:53:47.731016,
15,1,Organic,,7.0,B0BK12996N,Eaasty 30 Pcs Sunday School Crafts for Kids Christian Bible Religious Inspirational Traffic Light Crafts Kit for Vacation Bible School VBS Church Classroom Decor,N/A,$9.99,,4.7,274.0,False,https://m.media-amazon.com/images/I/61AZvGHDxPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61AZvGHDxPL._AC_SL1500_.jpg,,2026-04-22T10:53:47.734683,
16,1,Organic,,8.0,B0GJD37SHF,"Blueweenly 48 Set 2026 VBS Crafts Painting Kits for Kids, Wood Rainforest Animals Wind Chime Kit Make Your Own Tropical Rainforest DIY Wood Arts for Sunday School Church Summer Activities",N/A,$20.99,,,,False,https://m.media-amazon.com/images/I/81aXdcfiSsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81aXdcfiSsL._AC_SL1500_.jpg,,2026-04-22T10:53:47.738266,
17,1,Organic,,9.0,B0CBKB1CVR,Dvbonike 24Pcs Sunday School Crafts for Kids Color Your Own Jesus Walks with Us Craft Kit Christian Religious Footprint Coloring Card DIY Drawing Party Gifts VBS Home Classroom Art Activity Supplies,N/A,$7.99,,4.6,200.0,False,https://m.media-amazon.com/images/I/81QMzi6VEEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81QMzi6VEEL._AC_SL1500_.jpg,,2026-04-22T10:53:47.741968,
18,1,Organic,,10.0,B0FQHZQK9V,"Hebayy 30 Set Sunflower Craft Kit, God Says You are DIY Craft Supplies for Sunday School, Glue-Free & Easy to Assemble Religious Christian Bible Supplies for School Activities",N/A,$7.99,,4.8,30.0,False,https://m.media-amazon.com/images/I/91ktVOlcDwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91ktVOlcDwL._AC_SL1500_.jpg,,2026-04-22T10:53:47.745600,
19,1,Organic,,11.0,B0G3QRGVJ9,Lifeway Kids VBS 2026 Illumination Station Illumination Station Shrink Plastic Craft Pack (Pack of 10),N/A,$6.99,,,,False,https://m.media-amazon.com/images/I/71MCdbNq8NL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MCdbNq8NL._AC_SL1500_.jpg,,2026-04-22T10:53:47.748860,
20,1,Organic,,12.0,B0DD6YKN5W,36 Pieces Wood Cross Crafts for Kids DIY Wooden Cross for Christian Jesus Sunday School Vacation Bible School Crafts Supplies with 14 Pieces Stickers and 24 Pieces Watercolor Pens (Exquisite Style),N/A,$22.99,,4.7,54.0,False,https://m.media-amazon.com/images/I/81pbMtG9MkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81pbMtG9MkL._AC_SL1500_.jpg,,2026-04-22T10:53:47.753177,
21,1,Organic,,13.0,B0BZS3HHRG,32Sets Inspirational Traffic Light Craft Kit Bulk Bible Scripture John 14: 6 Paper Crafts Make Your Own Sunday School DIY Bookmarks for Kids Classroom Home Easter Christian Religious Party Favor,N/A,$13.99,,4.3,114.0,False,https://m.media-amazon.com/images/I/81zBFzQaoSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81zBFzQaoSL._AC_SL1500_.jpg,,2026-04-22T10:53:47.758872,
22,1,Organic,,14.0,B0B2RCM7PK,"Treela 100 Pack Blank Wooden Cross Unfinished Cross Shaped Wooden Cutouts for DIY Project Tags Sunday Church Home Decoration Ornaments, 11 x 7 cm/ 4.3 x 2.8 Inches",N/A,$16.99,,4.7,131.0,False,https://m.media-amazon.com/images/I/81Mp8qHwoWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Mp8qHwoWL._AC_SL1500_.jpg,,2026-04-22T10:53:47.764083,
23,1,Organic,,15.0,B0CY4SNPV3,"COcnny Ten Commandments Coloring Craft - 24 Sets Color Your Own Religious Art Wheel Kit for Kids, 10 Commandments DIY Craft Art Cards for Sunday School Christian Classroom Home Activities VBS Supplies",N/A,$14.99,,4.5,156.0,False,https://m.media-amazon.com/images/I/81HT8bYlKHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81HT8bYlKHL._AC_SL1500_.jpg,,2026-04-22T10:53:47.769311,
24,1,Title,,,,More results,,,,,,False,,,,2026-04-22T10:53:47.769860,
25,1,Organic,,16.0,B0GMV4CH8F,Beeveer 12 Sets VBS 2026 Light Bulb Crafts Plastic Light Bulb Crafts Kit with Strings of Lights DIY VBS Sunday School Party Favor for Theme Project Activities,N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/717YwtKOT1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/717YwtKOT1L._AC_SL1500_.jpg,,2026-04-22T10:53:47.773740,
26,1,Organic,,17.0,B0FDG6C35B,QOUBAI 32 Set Christian Suncatchers Crafts Kits Jesus is The Guiding Light DIY Religious Window Stained Glass Hanging Ornament Easter Holiday VBS Paper Craft Holy Night Lent Sunday School Activities,N/A,$12.99,,4.3,77.0,False,https://m.media-amazon.com/images/I/71BJqMBGPsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71BJqMBGPsL._AC_SL1500_.jpg,,2026-04-22T10:53:47.778615,
27,1,Organic,,18.0,B0DNMYKRX8,"Eersida 32 Pcs Christian Cross Craft Kit, VBS Religious Suncatcher DIY Stained Glass with Tissue Paper Window Art, Bible Ornament Bulk for Sunday School Church Bible Classroom Decor",N/A,$16.99,,4.2,96.0,False,https://m.media-amazon.com/images/I/81DGMY3NX+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81DGMY3NX+L._AC_SL1500_.jpg,,2026-04-22T10:53:47.782432,
28,1,Organic,,19.0,B0DN665G68,Lonfliness 32 Set Cross Suncatchers Craft DIY Religious VBS Window Stain Glass Effect Paper Christian Home Sunday Easter Decorations Art Craft Creative Activity Project Gift Favor,N/A,$14.99,,4.4,140.0,False,https://m.media-amazon.com/images/I/81Qz6quraYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Qz6quraYL._AC_SL1500_.jpg,,2026-04-22T10:53:47.787088,
29,1,Organic,,20.0,B0G3RPL2K3,Lifeway Kids VBS 2026 Illumination Station Craft Stick Lantern Craft Pack (Pack of 10),N/A,$6.99,,3.0,2.0,False,https://m.media-amazon.com/images/I/61Y-2Jykj2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61Y-2Jykj2L._AC_SL1500_.jpg,,2026-04-22T10:53:47.791733,
30,1,Organic,,21.0,B0F2Z1XZC5,"40PCS Sunday School VBS Crafts Bulk: Paper Cross Nativity Suncatchers, Jesus Religious Christian Classroom Camping Activity DIY Kits Gifts Church Decorations, Window Stained Glass Effect Art Supplies",N/A,$16.99,,4.3,163.0,False,https://m.media-amazon.com/images/I/71vYvl5eBHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71vYvl5eBHL._AC_SL1500_.jpg,,2026-04-22T10:53:47.795035,
31,1,Organic,,22.0,B07RPC5X86,Fun Express Binoculars for Kids Craft Kit 12 Pack - Kids Binoculars Bulk Set for Sunday School Crafts & VBS Vacation Bible School Supplies | Cardboard Craft Kit for Summer Activities & Camp Crafts,N/A,$14.68,,3.8,18.0,False,https://m.media-amazon.com/images/I/617MzNfD1KL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/617MzNfD1KL._AC_SL1500_.jpg,,2026-04-22T10:53:47.800405,
32,1,Organic,,23.0,B0GR924DKZ,"RattanView 24 Pcs VBS 2026 DIY Set Illumination Themed Craft Color Your Own Keychains DIY Craft Wooden Blank Keychains for Sunday School Classroom Home Active Party Favors Gifts, 12 Styles",N/A,$13.99,,4.6,110.0,False,https://m.media-amazon.com/images/I/81mS30rxX5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81mS30rxX5L._AC_SL1500_.jpg,,2026-04-22T10:53:47.805153,
33,1,Organic,,24.0,B0G3QW6ZPD,Lifeway Kids VBS 2026 Illumination Station Scratch Art Frame Craft Pack (Pack of 10),N/A,$6.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/613Ey4JvfxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/613Ey4JvfxL._AC_SL1500_.jpg,,2026-04-22T10:53:47.809530,
34,1,Organic,,25.0,B09KMTP61W,"Quefe 3960pcs Pony Beads for Friendship Bracelet Making Kit 48 Colors Kandi Beads Set, 2400pcs Plastic Rainbow Bulk and 1560pcs Letter Beads for Keychains Craft Jewelry Necklace",N/A,$19.99,,4.8,2827.0,False,https://m.media-amazon.com/images/I/81mK76lBJaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81mK76lBJaL._AC_SL1500_.jpg,,2026-04-22T10:53:47.814293,
35,1,Organic,,26.0,B0D5MFYXC9,Syhood 24 Set God Says You are Sunflower Craft Kit for Sunday School VBS Religious DIY Christian Bible Craft Kit for School Home Activities,N/A,$14.99,,4.7,253.0,False,https://m.media-amazon.com/images/I/715Q6RGzs7L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/715Q6RGzs7L._AC_SL1500_.jpg,,2026-04-22T10:53:47.819901,
